sample,type,density
248,Inside,1.444
248,Inside,0.817
248,Inside,2.619
248,Inside,4.136
248,Inside,1.234
248,Inside,2.716
248,Inside,1.206
248,Inside,6.14
248,Inside,10.754
248,Inside,3.552
248,Inside,1.299
248,Inside,4.537
248,Inside,3.705
248,Inside,3.74
248,Inside,2.348
248,Inside,4.816
248,Inside,1.817
248,Inside,1.857
248,Inside,1.244
248,Inside,3.176
248,Inside,1.04
248,Inside,1.428
248,Inside,0.976
248,Inside,3.178
248,Inside,1.922
248,Inside,3.686
248,Inside,2.225
248,Inside,2.157
248,Inside,2.96
248,Inside,1.632
248,Inside,3.062
248,Inside,5.046
248,Inside,3.096
248,Inside,2.104
248,Inside,2.323
248,Inside,3.768
248,Inside,2.094
248,Inside,2.739
248,Inside,2.619
248,Inside,5.15
248,Inside,2.511
248,Inside,4.449
248,Inside,1.457
248,Inside,2.117
248,Inside,3.747
248,Inside,2.024
248,Inside,8.572
248,Inside,2.058
248,Inside,2.534
248,Inside,3.857
248,Inside,2.571
248,Inside,4.248
248,Inside,2.107
248,Inside,1.537
248,Inside,1.476
248,Inside,3.014
248,Inside,3.279
248,Inside,2.674
248,Inside,4.933
248,Inside,1.513
248,Inside,0.988
248,Inside,1.624
248,Inside,1.816
248,Inside,2.594
248,Inside,1.414
248,Inside,4.27
248,Inside,1.366
248,Inside,5.424
248,Inside,4.95
248,Inside,1.766
248,Inside,0.817
248,Inside,1.747
248,Inside,1.903
248,Inside,4.685
248,Inside,1.336
248,Inside,1.333
248,Inside,2.442
248,Inside,1.435
248,Inside,0.358
248,Inside,2.405
248,Inside,1.225
248,Inside,3.946
248,Inside,3.241
248,Inside,2.94
248,Inside,3.27
248,Inside,2.76
248,Inside,3.744
248,Inside,1.878
248,Inside,0.333
248,Inside,3.578
248,Inside,1.686
248,Inside,3.388
248,Inside,0.874
248,Inside,2.95
248,Inside,1.664
248,Inside,2.838
248,Inside,2.472
248,Inside,0.388
248,Inside,2.19
248,Inside,6.212
248,Inside,1.315
248,Inside,1.826
248,Inside,1.11
248,Inside,2.502
248,Inside,0.853
248,Inside,3.223
248,Inside,1.4
248,Inside,3.566
248,Inside,1.098
248,Inside,1.936
248,Inside,2.051
248,Inside,3.468
248,Inside,4.86
248,Inside,3.524
248,Inside,2.238
248,Inside,2.657
248,Inside,2.297
248,Inside,1.11
248,Inside,6.947
248,Inside,1.706
248,Inside,11.93
248,Inside,2.394
248,Inside,1.735
248,Inside,3.036
248,Inside,3.869
248,Inside,1.633
248,Inside,4.651
248,Inside,4.009
248,Inside,5.984
248,Inside,2.22
248,Inside,1.435
248,Inside,0.818
248,Inside,8.861
248,Inside,1.11
248,Inside,2.855
248,Inside,2.64
248,Inside,1.934
248,Inside,2.429
248,Inside,6.022
248,Inside,12.117
248,Inside,5.491
248,Inside,3.199
248,Inside,3.16
248,Inside,2.877
248,Inside,0.77
248,Inside,2.139
248,Inside,3.342
248,Inside,1.388
248,Inside,0.459
248,Inside,2.244
248,Inside,2.525
248,Inside,3.1
248,Inside,2.523
248,Inside,2.731
248,Inside,10.832
248,Inside,2.221
248,Inside,1.821
248,Inside,3.021
248,Inside,6.428
248,Inside,6.712
248,Inside,0.419
248,Inside,6.204
248,Inside,3.192
248,Inside,2.804
248,Inside,3.99
248,Inside,9.305
248,Inside,3.836
248,Inside,6.321
248,Inside,0.427
248,Inside,4.104
248,Inside,3.493
248,Inside,3.717
248,Inside,3.523
248,Inside,2.736
248,Inside,4.195
248,Inside,4.152
248,Inside,1.187
248,Inside,7.285
248,Inside,13.526
248,Inside,3.851
248,Inside,1.546
248,Inside,5.601
248,Inside,2.323
248,Inside,5.406
248,Inside,3.331
248,Inside,2.051
248,Inside,7.092
248,Inside,1.642
248,Inside,2.798
248,Inside,0.459
248,Inside,3.592
248,Inside,0.34
248,Inside,4.827
248,Inside,2.961
248,Inside,2.264
248,Inside,1.733
248,Inside,2.214
248,Inside,2.467
248,Inside,7.078
248,Inside,3.804
248,Inside,2.306
248,Inside,7.006
248,Inside,2.917
248,Inside,2.344
255,Inside,4.836
255,Inside,0.661
255,Inside,4.054
255,Inside,2.918
255,Inside,5.489
255,Inside,3.499
255,Inside,1.241
255,Inside,3.756
255,Inside,3.813
255,Inside,1.421
255,Inside,3.457
255,Inside,2.192
255,Inside,5.639
255,Inside,0.697
255,Inside,1.348
255,Inside,2.016
255,Inside,2.49
255,Inside,2.244
255,Inside,5.824
255,Inside,3.175
255,Inside,3.118
255,Inside,1.485
255,Inside,9.914
255,Inside,2.296
255,Inside,1.98
255,Inside,0.606
255,Inside,8.934
255,Inside,1.751
255,Inside,3.92
255,Inside,2.649
255,Inside,32.094
255,Inside,2.345
255,Inside,1.379
255,Inside,3.747
255,Inside,1.337
255,Inside,7.365
255,Inside,2.862
255,Inside,1.863
255,Inside,7.709
255,Inside,3.205
255,Inside,2.182
255,Inside,7.431
255,Inside,2.636
255,Inside,1.596
255,Inside,9.273
255,Inside,1.839
255,Inside,1.249
255,Inside,6.815
255,Inside,2.398
255,Inside,1.555
255,Inside,2.137
255,Inside,4.016
255,Inside,2.546
255,Inside,5.108
255,Inside,19.137
255,Inside,19.187
255,Inside,6.16
255,Inside,9.873
255,Inside,2.4
255,Inside,0.883
255,Inside,2.009
255,Inside,9.966
255,Inside,2.254
255,Inside,1.736
255,Inside,2.177
255,Inside,5.681
255,Inside,5.498
255,Inside,1.541
255,Inside,4.714
255,Inside,12.272
255,Inside,2.845
255,Inside,0.354
255,Inside,2.641
255,Inside,6.052
255,Inside,2.523
255,Inside,0.384
255,Inside,2.726
255,Inside,1.388
255,Inside,19.229
255,Inside,1.272
255,Inside,0.608
255,Inside,2.189
255,Inside,1.731
255,Inside,2.594
255,Inside,3.826
255,Inside,2.078
255,Inside,1.678
255,Inside,39.764
255,Inside,2.379
255,Inside,5.876
255,Inside,2.826
255,Inside,2.822
255,Inside,1.76
255,Inside,2.47
255,Inside,2.883
255,Inside,4.271
255,Inside,1.738
255,Inside,4.521
255,Inside,1.861
255,Inside,2.348
255,Inside,11.061
255,Inside,1.701
255,Inside,1.456
255,Inside,2.657
255,Inside,3.791
255,Inside,3.709
255,Inside,2.142
255,Inside,1.284
255,Inside,1.692
255,Inside,1.713
255,Inside,3.775
255,Inside,2.318
255,Inside,1.729
255,Inside,2.248
255,Inside,2.774
255,Inside,2.018
255,Inside,3.738
255,Inside,2.094
255,Inside,1.556
255,Inside,0.561
255,Inside,1.617
255,Inside,2.356
255,Inside,1.861
255,Inside,5.394
255,Inside,5.338
255,Inside,1.989
255,Inside,1.694
255,Inside,3.882
255,Inside,2.788
255,Inside,1.773
255,Inside,5.046
255,Inside,4.599
255,Inside,2.19
255,Inside,1.51
255,Inside,1.859
255,Inside,1.555
255,Inside,5.25
255,Inside,3.112
255,Inside,3.331
255,Inside,3.163
255,Inside,2.45
255,Inside,2.314
255,Inside,2.135
255,Inside,2.544
255,Inside,1.255
255,Inside,0.689
255,Inside,2.466
255,Inside,3.752
255,Inside,2.848
255,Inside,3.145
255,Inside,2.577
255,Inside,1.408
255,Inside,2.473
255,Inside,2.367
255,Inside,1.894
255,Inside,2.824
255,Inside,1.013
255,Inside,2.485
255,Inside,3.608
255,Inside,2.308
255,Inside,1.348
255,Inside,3.139
255,Inside,1.863
255,Inside,1.684
255,Inside,2.448
255,Inside,2.443
255,Inside,2.18
255,Inside,3.243
255,Inside,1.342
255,Inside,2.508
255,Inside,3.91
255,Inside,3.484
255,Inside,1.206
255,Inside,1.795
255,Inside,2.763
255,Inside,1.969
255,Inside,5.381
255,Inside,2.848
255,Inside,3.665
255,Inside,3.929
255,Inside,2.521
255,Inside,4.538
255,Inside,3.072
255,Inside,4.859
255,Inside,2.132
255,Inside,2.129
255,Inside,1.342
255,Inside,1.896
255,Inside,3.093
255,Inside,1.716
255,Inside,2.313
255,Inside,2.574
255,Inside,0.519
255,Inside,3.561
255,Inside,4.109
255,Inside,2.644
255,Inside,2.386
255,Inside,2.662
255,Inside,2.094
255,Inside,1.947
255,Inside,2.735
255,Inside,2.896
255,Inside,2.293
255,Inside,1.678
255,Inside,2.863
255,Inside,0.507
255,Inside,2.522
255,Inside,0.389
255,Inside,4.365
255,Inside,0.521
255,Inside,5.469
255,Inside,2.327
255,Inside,1.363
255,Inside,1.794
255,Inside,3.346
255,Inside,1.049
255,Inside,4.63
255,Inside,2.027
255,Inside,6.44
255,Inside,4.015
255,Inside,3.66
255,Inside,1.508
255,Inside,2.173
255,Inside,3.586
255,Inside,1.746
255,Inside,1.815
255,Inside,3.704
255,Inside,0.838
255,Inside,2.053
255,Inside,3.192
255,Inside,3.276
255,Inside,0.638
255,Inside,2.765
255,Inside,3.84
255,Inside,2.076
255,Inside,3.732
255,Inside,1.514
255,Inside,0.839
255,Inside,3.728
255,Inside,3.119
255,Inside,2.714
255,Inside,2.11
255,Inside,2.262
255,Inside,3.418
255,Inside,3.574
255,Inside,2.631
255,Inside,1.068
255,Inside,6.842
255,Inside,2.041
255,Inside,4.088
255,Inside,1.594
255,Inside,3.561
255,Inside,2.441
255,Inside,4.234
255,Inside,2.722
255,Inside,1.81
255,Inside,2.08
255,Inside,4.437
255,Inside,2.22
255,Inside,1.298
255,Inside,2.761
255,Inside,2.399
255,Inside,2.475
255,Inside,16.422
255,Inside,4.643
255,Inside,1.531
255,Inside,3.399
255,Inside,1.12
255,Inside,1.347
255,Inside,1.628
255,Inside,1.717
255,Inside,5.168
255,Inside,1.79
255,Inside,1.831
255,Inside,1.014
255,Inside,2.295
255,Inside,0.492
255,Inside,0.903
255,Inside,1.333
255,Inside,1.181
